ID,keyid,dtype,vars,block,decl,varscop,constr,opaspr,arith,assgn,constl,logrel,exprn,ampas,sequen,itcpt,selcpt,fncs,pasaddr,fncpar,fncpro,nestit,multi,init,incdcr,countit,eventit,switch,fncdef,exitlp,return,break,conti,ifelse,callfnc,stdio,lrvalue,scanf,printf,ifseri,elseif,beflp,endlp,default,prepost
P31,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown
P32,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,Known
P33,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown
P34,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known
P35,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown
P36,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known
P37,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known
P38,Known,Known,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,Known,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown
P39,Known,Known,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,Known,Known,Known,Known,Known,NotKnown,NotKnown,NotKnown,Known,NotKnown,Known,Known,NotKnown,NotKnown,NotKnown,Known,Known,NotKnown,NotKnown,Known,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,Known,Known
P40,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,NotKnown,Known,NotKnown,Known,Known,NotKnown,Known,Known,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,Known,NotKnown,NotKnown,NotKnown,NotKnown,NotKnown,Known,Known,Known,Known,NotKnown,NotKnown,Known,Known,Known
